1.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.63269,0.12622,0.12622,0.05189,0.01553,0.00751,0.00751,0.00015,0.01553,0.00751,0.00751,0.00015,0.00155,0.00001,0.00001,0.00001
0.93317,0.02313,0.02313,0.00655,0.00442,0.00059,0.00059,0.00030,0.00442,0.00059,0.00059,0.00030,0.00215,0.00004,0.00004,0.00001
0.60149,0.12063,0.12063,0.08415,0.01900,0.00731,0.00731,0.00037,0.01900,0.00731,0.00731,0.00037,0.00506,0.00003,0.00003,0.00001
0.82589,0.06033,0.06033,0.01855,0.00803,0.00299,0.00299,0.00025,0.00803,0.00299,0.00299,0.00025,0.00628,0.00003,0.00003,0.00002
0.57770,0.12831,0.12831,0.11956,0.00933,0.00517,0.00517,0.00030,0.00933,0.00517,0.00517,0.00030,0.00608,0.00004,0.00004,0.00001
0.72413,0.08447,0.08447,0.04496,0.02133,0.00299,0.00299,0.00005,0.02133,0.00299,0.00299,0.00005,0.00718,0.00002,0.00002,0.00001
0.59722,0.12961,0.12961,0.11545,0.00707,0.00220,0.00220,0.00009,0.00707,0.00220,0.00220,0.00009,0.00497,0.00001,0.00001,0.00000
0.70297,0.07653,0.07653,0.06056,0.02281,0.00819,0.00819,0.00021,0.02281,0.00819,0.00819,0.00021,0.00460,0.00002,0.00002,0.00001
0.66330,0.12275,0.12275,0.07409,0.00493,0.00142,0.00142,0.00037,0.00493,0.00142,0.00142,0.00037,0.00074,0.00004,0.00004,0.00000
0.73284,0.06593,0.06593,0.06397,0.02579,0.00439,0.00439,0.00044,0.02579,0.00439,0.00439,0.00044,0.00122,0.00004,0.00004,0.00001
0.76861,0.08751,0.08751,0.03169,0.01080,0.00055,0.00055,0.00017,0.01080,0.00055,0.00055,0.00017,0.00044,0.00005,0.00005,0.00002
0.76029,0.07471,0.07471,0.04611,0.01409,0.00355,0.00355,0.00011,0.01409,0.00355,0.00355,0.00011,0.00152,0.00002,0.00002,0.00001
0.82525,0.06116,0.06116,0.01916,0.01067,0.00192,0.00192,0.00008,0.01067,0.00192,0.00192,0.00008,0.00404,0.00001,0.00001,0.00001
0.74677,0.09247,0.09247,0.03123,0.01328,0.00156,0.00156,0.00015,0.01328,0.00156,0.00156,0.00015,0.00391,0.00002,0.00002,0.00000
0.84350,0.03664,0.03664,0.02958,0.01935,0.00176,0.00176,0.00032,0.01935,0.00176,0.00176,0.00032,0.00722,0.00003,0.00003,0.00001
0.66540,0.12921,0.12921,0.05222,0.00739,0.00095,0.00095,0.00039,0.00739,0.00095,0.00095,0.00039,0.00456,0.00002,0.00002,0.00000
0.81015,0.03989,0.03989,0.03840,0.02081,0.00540,0.00540,0.00048,0.02081,0.00540,0.00540,0.00048,0.00729,0.00009,0.00009,0.00001
0.59200,0.14238,0.14238,0.10161,0.00712,0.00105,0.00105,0.00015,0.00712,0.00105,0.00105,0.00015,0.00277,0.00003,0.00003,0.00002
0.77170,0.05912,0.05912,0.03454,0.02824,0.00381,0.00381,0.00013,0.02824,0.00381,0.00381,0.00013,0.00348,0.00003,0.00003,0.00001
0.53482,0.14935,0.14935,0.13859,0.00818,0.00271,0.00271,0.00021,0.00818,0.00271,0.00271,0.00021,0.00024,0.00001,0.00001,0.00000
0.79221,0.06265,0.06265,0.02922,0.01892,0.00350,0.00350,0.00042,0.01892,0.00350,0.00350,0.00042,0.00052,0.00003,0.00003,0.00000
0.53025,0.14378,0.14378,0.12331,0.01664,0.00568,0.00568,0.00051,0.01664,0.00568,0.00568,0.00051,0.00181,0.00003,0.00003,0.00001
0.84993,0.04815,0.04815,0.02244,0.01056,0.00194,0.00194,0.00029,0.01056,0.00194,0.00194,0.00029,0.00181,0.00001,0.00001,0.00001
0.58296,0.13176,0.13176,0.07793,0.02029,0.00690,0.00690,0.00023,0.02029,0.00690,0.00690,0.00023,0.00681,0.00006,0.00006,0.00001
