(0.61458,0.78519),(0.04224,-0.03306),(-0.00101,-0.00129),(-0.00002,0.00002),(0.00000,0.00000),(0.00000,0.00000),(0.04224,-0.03306),(-0.00159,-0.00203),(-0.00005,0.00004),(0.00000,0.00000),(0.00000,0.00000),(-0.00101,-0.00129),(-0.00005,0.00004),(0.00000,0.00000),(0.00000,0.00000),(-0.00002,0.00002),(0.00000,0.00000),(0.00000,0.00000),(0.00000,0.00000),(0.00000,0.00000),(0.00000,0.00000)
(0.04224,-0.03306),(0.61362,0.78396),(0.04778,-0.03740),(-0.00105,-0.00134),(-0.00002,0.00001),(0.00000,0.00000),(-0.00160,-0.00204),(0.03773,-0.02953),(-0.00156,-0.00199),(-0.00005,0.00004),(0.00000,0.00000),(-0.00006,0.00004),(-0.00078,-0.00099),(-0.00004,0.00003),(0.00000,0.00000),(0.00000,0.00000),(-0.00002,0.00001),(0.00000,0.00000),(0.00000,0.00000),(0.00000,0.00000),(0.00000,0.00000)
(-0.00101,-0.00129),(0.04778,-0.03740),(0.61373,0.78410),(0.04391,-0.03437),(-0.00074,-0.00095),(0.00000,0.00000),(-0.00006,0.00004),(-0.00157,-0.00201),(0.03268,-0.02558),(-0.00117,-0.00149),(-0.00002,0.00002),(0.00000,0.00000),(-0.00005,0.00004),(-0.00055,-0.00070),(-0.00002,0.00002),(0.00000,0.00000),(0.00000,0.00000),(0.00000,0.00000),(0.00000,0.00000),(0.00000,0.00000),(0.00000,0.00000)
(-0.00002,0.00002),(-0.00105,-0.00134),(0.04391,-0.03437),(0.61447,0.78505),(0.03383,-0.02648),(-0.00032,-0.00041),(0.00000,0.00000),(-0.00005,0.00004),(-0.00119,-0.00152),(0.02671,-0.02091),(-0.00064,-0.00081),(0.00000,0.00000),(0.00000,0.00000),(-0.00003,0.00002),(-0.00032,-0.00041),(0.00000,0.00000),(0.00000,0.00000),(0.00000,0.00000),(0.00000,0.00000),(0.00000,0.00000),(0.00000,0.00000)
(0.00000,0.00000),(-0.00002,0.00001),(-0.00074,-0.00095),(0.03383,-0.02648),(0.61543,0.78628),(0.01892,-0.01481),(0.00000,0.00000),(0.00000,0.00000),(-0.00003,0.00002),(-0.00068,-0.00086),(0.01892,-0.01481),(0.00000,0.00000),(0.00000,0.00000),(0.00000,0.00000),(0.00000,0.00000),(0.00000,0.00000),(0.00000,0.00000),(0.00000,0.00000),(0.00000,0.00000),(0.00000,0.00000),(0.00000,0.00000)
(0.00000,0.00000),(0.00000,0.00000),(0.00000,0.00000),(-0.00032,-0.00041),(0.01892,-0.01481),(0.61618,0.78724),(0.00000,0.00000),(0.00000,0.00000),(0.00000,0.00000),(0.00000,0.00000),(-0.00018,-0.00023),(0.00000,0.00000),(0.00000,0.00000),(0.00000,0.00000),(0.00000,0.00000),(0.00000,0.00000),(0.00000,0.00000),(0.00000,0.00000),(0.00000,0.00000),(0.00000,0.00000),(0.00000,0.00000)
(0.04224,-0.03306),(-0.00160,-0.00204),(-0.00006,0.00004),(0.00000,0.00000),(0.00000,0.00000),(0.00000,0.00000),(0.61362,0.78396),(0.03773,-0.02953),(-0.00078,-0.00099),(-0.00002,0.00001),(0.00000,0.00000),(0.04778,-0.03740),(-0.00156,-0.00199),(-0.00004,0.00003),(0.00000,0.00000),(-0.00105,-0.00134),(-0.00005,0.00004),(0.00000,0.00000),(-0.00002,0.00001),(0.00000,0.00000),(0.00000,0.00000)
(-0.00159,-0.00203),(0.03773,-0.02953),(-0.00157,-0.00201),(-0.00005,0.00004),(0.00000,0.00000),(0.00000,0.00000),(0.03773,-0.02953),(0.61323,0.78347),(0.04134,-0.03236),(-0.00074,-0.00094),(0.00000,0.00000),(-0.00157,-0.00201),(0.04134,-0.03236),(-0.00139,-0.00178),(-0.00003,0.00002),(-0.00005,0.00004),(-0.00074,-0.00094),(-0.00003,0.00002),(0.00000,0.00000),(0.00000,0.00000),(0.00000,0.00000)
(-0.00005,0.00004),(-0.00156,-0.00199),(0.03268,-0.02558),(-0.00119,-0.00152),(-0.00003,0.00002),(0.00000,0.00000),(-0.00078,-0.00099),(0.04134,-0.03236),(0.61376,0.78415),(0.03584,-0.02805),(-0.00043,-0.00055),(-0.00005,0.00004),(-0.00142,-0.00182),(0.03378,-0.02644),(-0.00085,-0.00109),(0.00000,0.00000),(-0.00003,0.00003),(-0.00043,-0.00055),(0.00000,0.00000),(0.00000,0.00000),(0.00000,0.00000)
(0.00000,0.00000),(-0.00005,0.00004),(-0.00117,-0.00149),(0.02671,-0.02091),(-0.00068,-0.00086),(0.00000,0.00000),(-0.00002,0.00001),(-0.00074,-0.00094),(0.03584,-0.02805),(0.61479,0.78546),(0.02392,-0.01872),(0.00000,0.00000),(-0.00003,0.00003),(-0.00091,-0.00116),(0.02392,-0.01872),(0.00000,0.00000),(0.00000,0.00000),(-0.00001,0.00000),(0.00000,0.00000),(0.00000,0.00000),(0.00000,0.00000)
(0.00000,0.00000),(0.00000,0.00000),(-0.00002,0.00002),(-0.00064,-0.00081),(0.01892,-0.01481),(-0.00018,-0.00023),(0.00000,0.00000),(0.00000,0.00000),(-0.00043,-0.00055),(0.02392,-0.01872),(0.61590,0.78687),(0.00000,0.00000),(0.00000,0.00000),(-0.00001,0.00000),(-0.00028,-0.00036),(0.00000,0.00000),(0.00000,0.00000),(0.00000,0.00000),(0.00000,0.00000),(0.00000,0.00000),(0.00000,0.00000)
(-0.00101,-0.00129),(-0.00006,0.00004),(0.00000,0.00000),(0.00000,0.00000),(0.00000,0.00000),(0.00000,0.00000),(0.04778,-0.03740),(-0.00157,-0.00201),(-0.00005,0.00004),(0.00000,0.00000),(0.00000,0.00000),(0.61373,0.78410),(0.03268,-0.02558),(-0.00055,-0.00070),(0.00000,0.00000),(0.04391,-0.03437),(-0.00117,-0.00149),(-0.00002,0.00002),(-0.00074,-0.00095),(-0.00002,0.00002),(0.00000,0.00000)
(-0.00005,0.00004),(-0.00078,-0.00099),(-0.00005,0.00004),(0.00000,0.00000),(0.00000,0.00000),(0.00000,0.00000),(-0.00156,-0.00199),(0.04134,-0.03236),(-0.00142,-0.00182),(-0.00003,0.00003),(0.00000,0.00000),(0.03268,-0.02558),(0.61376,0.78415),(0.03378,-0.02644),(-0.00043,-0.00055),(-0.00119,-0.00152),(0.03584,-0.02805),(-0.00085,-0.00109),(-0.00003,0.00002),(-0.00043,-0.00055),(0.00000,0.00000)
(0.00000,0.00000),(-0.00004,0.00003),(-0.00055,-0.00070),(-0.00003,0.00002),(0.00000,0.00000),(0.00000,0.00000),(-0.00004,0.00003),(-0.00139,-0.00178),(0.03378,-0.02644),(-0.00091,-0.00116),(-0.00001,0.00000),(-0.00055,-0.00070),(0.03378,-0.02644),(0.61458,0.78519),(0.02537,-0.01985),(-0.00003,0.00002),(-0.00091,-0.00116),(0.02537,-0.01985),(0.00000,0.00000),(-0.00001,0.00000),(0.00000,0.00000)
(0.00000,0.00000),(0.00000,0.00000),(-0.00002,0.00002),(-0.00032,-0.00041),(0.00000,0.00000),(0.00000,0.00000),(0.00000,0.00000),(-0.00003,0.00002),(-0.00085,-0.00109),(0.02392,-0.01872),(-0.00028,-0.00036),(0.00000,0.00000),(-0.00043,-0.00055),(0.02537,-0.01985),(0.61575,0.78669),(0.00000,0.00000),(-0.00001,0.00000),(-0.00032,-0.00041),(0.00000,0.00000),(0.00000,0.00000),(0.00000,0.00000)
(-0.00002,0.00002),(0.00000,0.00000),(0.00000,0.00000),(0.00000,0.00000),(0.00000,0.00000),(0.00000,0.00000),(-0.00105,-0.00134),(-0.00005,0.00004),(0.00000,0.00000),(0.00000,0.00000),(0.00000,0.00000),(0.04391,-0.03437),(-0.00119,-0.00152),(-0.00003,0.00002),(0.00000,0.00000),(0.61447,0.78505),(0.02671,-0.02091),(-0.00032,-0.00041),(0.03383,-0.02648),(-0.00064,-0.00081),(-0.00032,-0.00041)
(0.00000,0.00000),(-0.00002,0.00001),(0.00000,0.00000),(0.00000,0.00000),(0.00000,0.00000),(0.00000,0.00000),(-0.00005,0.00004),(-0.00074,-0.00094),(-0.00003,0.00003),(0.00000,0.00000),(0.00000,0.00000),(-0.00117,-0.00149),(0.03584,-0.02805),(-0.00091,-0.00116),(-0.00001,0.00000),(0.02671,-0.02091),(0.61479,0.78546),(0.02392,-0.01872),(-0.00068,-0.00086),(0.02392,-0.01872),(0.00000,0.00000)
(0.00000,0.00000),(0.00000,0.00000),(0.00000,0.00000),(0.00000,0.00000),(0.00000,0.00000),(0.00000,0.00000),(0.00000,0.00000),(-0.00003,0.00002),(-0.00043,-0.00055),(-0.00001,0.00000),(0.00000,0.00000),(-0.00002,0.00002),(-0.00085,-0.00109),(0.02537,-0.01985),(-0.00032,-0.00041),(-0.00032,-0.00041),(0.02392,-0.01872),(0.61575,0.78669),(0.00000,0.00000),(-0.00028,-0.00036),(0.00000,0.00000)
(0.00000,0.00000),(0.00000,0.00000),(0.00000,0.00000),(0.00000,0.00000),(0.00000,0.00000),(0.00000,0.00000),(-0.00002,0.00001),(0.00000,0.00000),(0.00000,0.00000),(0.00000,0.00000),(0.00000,0.00000),(-0.00074,-0.00095),(-0.00003,0.00002),(0.00000,0.00000),(0.00000,0.00000),(0.03383,-0.02648),(-0.00068,-0.00086),(0.00000,0.00000),(0.61543,0.78628),(0.01892,-0.01481),(0.01892,-0.01481)
(0.00000,0.00000),(0.00000,0.00000),(0.00000,0.00000),(0.00000,0.00000),(0.00000,0.00000),(0.00000,0.00000),(0.00000,0.00000),(0.00000,0.00000),(0.00000,0.00000),(0.00000,0.00000),(0.00000,0.00000),(-0.00002,0.00002),(-0.00043,-0.00055),(-0.00001,0.00000),(0.00000,0.00000),(-0.00064,-0.00081),(0.02392,-0.01872),(-0.00028,-0.00036),(0.01892,-0.01481),(0.61590,0.78687),(-0.00018,-0.00023)
(0.00000,0.00000),(0.00000,0.00000),(0.00000,0.00000),(0.00000,0.00000),(0.00000,0.00000),(0.00000,0.00000),(0.00000,0.00000),(0.00000,0.00000),(0.00000,0.00000),(0.00000,0.00000),(0.00000,0.00000),(0.00000,0.00000),(0.00000,0.00000),(0.00000,0.00000),(0.00000,0.00000),(-0.00032,-0.00041),(0.00000,0.00000),(0.00000,0.00000),(0.01892,-0.01481),(-0.00018,-0.00023),(0.61618,0.78724)
